model,rating,n_ratings,ram_gb,storage_gb,b_camera_mp,f_camera_mp,battery_mah,price_inr
"POCO C50 (Royal Blue, 32 GB)",4.2,33561,2,32,8.0,5.0,5000,5649
"POCO M4 5G (Cool Blue, 64 GB)",4.2,77128,4,64,50.0,8.0,5000,11999
"POCO C51 (Royal Blue, 64 GB)",4.3,15175,4,64,8.0,5.0,5000,6999
"POCO C55 (Cool Blue, 64 GB)",4.2,22621,4,64,50.0,5.0,5000,7749
"POCO C51 (Power Black, 64 GB)",4.3,15175,4,64,8.0,5.0,5000,6999
"POCO M4 5G (Power Black, 64 GB)",4.2,77128,4,64,50.0,8.0,5000,11999
"POCO C55 (Power Black, 64 GB)",4.2,22621,4,64,50.0,5.0,5000,7749
"POCO C55 (Forest Green, 64 GB)",4.2,22621,4,64,50.0,5.0,5000,7749
"POCO C55 (Cool Blue, 128 GB)",4.1,13647,6,128,50.0,5.0,5000,9249
"POCO M4 5G (Yellow, 128 GB)",4.2,40525,6,128,50.0,8.0,5000,13999
"POCO C50 (Country Green, 32 GB)",4.2,33561,2,32,8.0,5.0,5000,5649
"POCO C55 (Power Black, 128 GB)",4.1,13647,6,128,50.0,5.0,5000,9249
"POCO M5 (Power Black, 64 GB)",4.2,7572,4,64,50.0,8.0,5000,8999
"POCO M5 (Icy Blue, 64 GB)",4.2,7572,4,64,50.0,8.0,5000,8999
"POCO M4 5G (Yellow, 64 GB)",4.2,77128,4,64,50.0,8.0,5000,11999
"POCO C55 (Forest Green, 128 GB)",4.1,13647,6,128,50.0,5.0,5000,9249
"POCO M4 5G (Power Black, 128 GB)",4.2,40525,6,128,50.0,8.0,5000,13999
"POCO C50 (Royal Blue, 32 GB)",4.1,11675,3,32,8.0,5.0,5000,6499
"POCO M5 (Yellow, 64 GB)",4.2,7572,4,64,50.0,8.0,5000,8999
"POCO M4 Pro (Yellow, 128 GB)",4.2,21133,8,128,64.0,16.0,5000,13999
"POCO C50 (Country Green, 32 GB)",4.1,11675,3,32,8.0,5.0,5000,6499
"POCO X5 5G (Jaguar Black, 128 GB)",4.1,7285,6,128,48.0,13.0,5000,15999
"POCO X5 5G (Wildcat Blue, 128 GB)",4.1,7285,6,128,48.0,13.0,5000,15999
"POCO M4 Pro 5G (Yellow, 128 GB)",4.2,21688,8,128,50.0,16.0,5000,15999
"POCO M5 (Power Black, 128 GB)",4.2,3525,6,128,50.0,8.0,5000,10999
"POCO M5 (Yellow, 128 GB)",4.2,3525,6,128,50.0,8.0,5000,10999
"POCO X5 5G (Supernova Green, 128 GB)",4.1,7285,6,128,48.0,13.0,5000,15999
"POCO M5 (Icy Blue, 128 GB)",4.2,3525,6,128,50.0,8.0,5000,10999
"POCO M4 Pro (Cool Blue, 128 GB)",4.2,21133,8,128,64.0,16.0,5000,13999
"POCO X5 Pro 5G (Horizon Blue, 256 GB)",4.3,7460,8,256,108.0,16.0,5000,23999
"POCO X5 5G (Jaguar Black, 256 GB)",4.1,2646,8,256,48.0,13.0,5000,17999
"POCO X5 Pro 5G (Astral Black, 256 GB)",4.3,7460,8,256,108.0,16.0,5000,23999
"POCO X5 5G (Wildcat Blue, 256 GB)",4.1,2646,8,256,48.0,13.0,5000,17999
"POCO M3 Pro 5G (Yellow, 128 GB)",4.2,54521,6,128,48.0,8.0,5000,14499
"POCO M4 5G (Cool Blue, 128 GB)",4.2,40239,6,128,50.0,8.0,5000,13999
"POCO X4 Pro 5G (Yellow, 128 GB)",4.2,85420,6,128,64.0,16.0,5000,17499
"POCO X5 Pro 5G (Yellow, 256 GB)",4.3,7460,8,256,108.0,16.0,5000,23999
"POCO X5 Pro 5G (Horizon Blue, 128 GB)",4.3,7885,6,128,108.0,16.0,5000,21999
"POCO X5 Pro 5G (Yellow, 128 GB)",4.3,7885,6,128,108.0,16.0,5000,21999
"POCO X5 Pro 5G (Astral Black, 128 GB)",4.3,7885,6,128,108.0,16.0,5000,21999
"POCO F5 5G (Snowstorm White, 256 GB)",4.2,2683,8,256,64.0,16.0,5000,29999
"POCO X4 Pro 5G (Yellow, 64 GB)",4.2,85420,6,64,64.0,16.0,5000,16499
"POCO X5 5G (Supernova Green, 256 GB)",4.1,2646,8,256,48.0,13.0,5000,17999
"POCO F5 5G (Carbon Black, 256 GB)",4.2,2683,8,256,64.0,16.0,5000,29999
"POCO F5 5G (Electric Blue, 256 GB)",4.2,2683,8,256,64.0,16.0,5000,29999
"POCO C31 (Shadow Gray, 64 GB)",4.3,222992,4,64,13.0,5.0,5000,8999
"POCO F5 5G (Snowstorm White, 256 GB)",4.2,460,12,256,64.0,16.0,5000,32999
"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.2,21576,8,128,64.0,16.0,5000,19499
"POCO M4 Pro 5G (Yellow, 64 GB)",4.3,48896,4,64,50.0,16.0,5000,14999
"POCO F5 5G (Electric Blue, 256 GB)",4.2,460,12,256,64.0,16.0,5000,32999
"POCO C31 (Shadow Gray, 64 GB)",4.3,222992,4,64,13.0,5.0,5000,8999
"POCO F5 5G (Carbon Black, 256 GB)",4.2,460,12,256,64.0,16.0,5000,32999
"POCO C31 (Shadow Gray, 32 GB)",4.3,145794,3,32,13.0,5.0,5000,8499
"POCO X2 (Atlantis Blue, 64 GB)",4.5,271753,6,64,64.0,20.0,4500,17999
"POCO M4 Pro 5G (Yellow, 128 GB)",4.2,56081,6,128,50.0,16.0,5000,16999
"POCO C31 (Royal Blue, 64 GB)",4.3,222992,4,64,13.0,5.0,5000,8999
"POCO X4 Pro 5G (Yellow, 128 GB)",4.2,21576,8,128,64.0,16.0,5000,19499
"POCO C31 (Royal Blue, 32 GB)",4.3,145794,3,32,13.0,5.0,5000,8499
"POCO M4 Pro (Yellow, 128 GB)",4.3,173304,6,128,64.0,16.0,5000,16499
"POCO X2 (Phoenix Red, 256 GB)",4.5,60968,8,256,64.0,20.0,4500,20999
"POCO X2 (Matrix Purple, 256 GB)",4.5,60968,8,256,64.0,20.0,4500,20999
"POCO F1 (Steel Blue, 64 GB)",4.5,244650,6,64,12.0,20.0,4000,13689
"POCO F4 5G (Night Black, 128 GB)",4.3,5304,8,128,64.0,20.0,4500,27999
"POCO F1 (Graphite Black, 128 GB)",4.5,244650,6,128,12.0,20.0,4000,24999
"POCO M4 Pro (Yellow, 64 GB)",4.3,173304,6,64,64.0,16.0,5000,14999
"POCO C3 (Matte Black, 32 GB)",4.3,400433,3,32,13.0,5.0,5000,9999
"POCO X4 Pro 5G (Laser Blue, 64 GB)",4.2,85420,6,64,64.0,16.0,5000,16499
"POCO M2 Reloaded (Mostly Blue, 64 GB)",4.3,67498,4,64,13.0,8.0,5000,11990
"POCO M2 Pro (Green and Greener, 64 GB)",4.4,352150,6,64,48.0,16.0,5000,17999
"POCO M2 Pro (Out of the Blue, 128 GB)",4.4,352150,6,128,48.0,16.0,5000,19999
"POCO C3 (Arctic Blue, 32 GB)",4.3,400433,3,32,13.0,5.0,5000,9999
"POCO X2 (Phoenix Red, 64 GB)",4.5,271753,6,64,64.0,20.0,4500,15490
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.2,85420,6,128,64.0,16.0,5000,17499
"POCO F4 5G (Night Black, 256 GB)",4.3,3312,12,256,64.0,20.0,4500,39999
"POCO X3 Pro (Graphite Black, 128 GB)",4.3,137003,6,128,48.0,20.0,5160,23999
"POCO F4 5G (Night Black, 128 GB)",4.3,12889,6,128,64.0,20.0,4500,27999
"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.2,85420,6,128,64.0,16.0,5000,17499
"POCO M2 Pro (Out of the Blue, 64 GB)",4.3,249602,4,64,48.0,16.0,5000,16999
"POCO F1 (Rosso Red, 64 GB)",4.5,244650,6,64,12.0,20.0,4000,21999
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,352150,6,64,48.0,16.0,5000,17999
"POCO M2 Pro (Two Shades of Black, 128 GB)",4.4,352150,6,128,48.0,16.0,5000,19999
"POCO X2 (Atlantis Blue, 256 GB)",4.5,60968,8,256,64.0,20.0,4500,20999
"POCO M2 Pro (Green and Greener, 64 GB)",4.3,249602,4,64,48.0,16.0,5000,16999
"POCO F4 5G (Nebula Green, 128 GB)",4.3,12889,6,128,64.0,20.0,4500,27999
"POCO M3 (Cool Blue, 128 GB)",4.3,484582,6,128,48.0,8.0,6000,14999
"POCO X3 Pro (Steel Blue, 128 GB)",4.3,137003,6,128,48.0,20.0,5160,23999
"POCO M3 Pro 5G (Yellow, 64 GB)",4.3,64087,4,64,48.0,8.0,5000,15999
"POCO C3 (Lime Green, 32 GB)",4.3,400433,3,32,13.0,5.0,5000,9999
"POCO X3 (Cobalt Blue, 64 GB)",4.3,256360,6,64,64.0,20.0,6000,19999
"POCO X2 (Matrix Purple, 64 GB)",4.5,271753,6,64,64.0,20.0,4500,17999
"POCO F3 GT 5G (Gunmetal Silver, 128 GB)",4.3,4739,6,128,64.0,16.0,5065,32999
"POCO X2 (Atlantis Blue, 128 GB)",4.5,271753,6,128,64.0,20.0,4500,18999
"POCO F1 (Graphite Black, 64 GB)",4.5,244650,6,64,12.0,20.0,4000,21999
"POCO M3 (Cool Blue, 64 GB)",4.3,125650,4,64,48.0,8.0,6000,11999
"POCO M3 (Yellow, 64 GB)",4.3,125650,4,64,48.0,8.0,6000,11999
"POCO M2 (Slate Blue, 64 GB)",4.4,409478,6,64,13.0,8.0,5000,12999
"POCO M3 (Yellow, 64 GB)",4.3,125650,4,64,48.0,8.0,6000,11999
"POCO M2 (Slate Blue, 64 GB)",4.4,409478,6,64,13.0,8.0,5000,12999
"POCO M2 Reloaded (Greyish Black, 64 GB)",4.3,67498,4,64,13.0,8.0,5000,11999
"POCO X3 Pro (Golden Bronze, 128 GB)",4.3,137003,6,128,48.0,20.0,5160,23999
"POCO M3 (Cool Blue, 64 GB)",4.3,125650,4,64,48.0,8.0,6000,10999
"POCO X4 Pro 5G (Laser Black, 64 GB)",4.2,85420,6,64,64.0,16.0,5000,16499
"POCO M3 (Cool Blue, 64 GB)",4.3,484582,6,64,48.0,8.0,6000,12990
"POCO M2 Pro (Green and Greener, 128 GB)",4.4,352150,6,128,48.0,16.0,5000,19999
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,352150,6,64,48.0,16.0,5000,17999
"POCO M3 (Power Black, 64 GB)",4.3,484582,6,64,48.0,8.0,6000,12999
"POCO X2 (Matrix Purple, 128 GB)",4.5,271753,6,128,64.0,20.0,4500,18999
"POCO F3 GT 5G (Predator Black, 128 GB)",4.3,4739,6,128,64.0,16.0,5065,32999
"POCO X3 Pro (Golden Bronze, 128 GB)",4.3,56643,8,128,48.0,20.0,5160,25999
"POCO M3 (Yellow, 64 GB)",4.3,484582,6,64,48.0,8.0,6000,12999
"POCO M2 (Pitch Black, 64 GB)",4.4,409478,6,64,13.0,8.0,5000,12999
"POCO M2 (Slate Blue, 128 GB)",4.4,409478,6,128,13.0,8.0,5000,14999
"POCO F4 5G (Nebula Green, 128 GB)",4.3,5304,8,128,64.0,20.0,4500,27999
"POCO X3 (Shadow Gray, 64 GB)",4.3,256360,6,64,64.0,20.0,6000,19999
"POCO F4 5G (Nebula Green, 256 GB)",4.3,3312,12,256,64.0,20.0,4500,39999
"POCO X3 (Shadow Gray, 128 GB)",4.3,256360,6,128,64.0,20.0,6000,20999
"POCO M3 Pro 5G (Power Black, 128 GB)",4.2,54521,6,128,48.0,8.0,5000,17999
"POCO F3 GT 5G (Predator Black, 256 GB)",4.3,15055,8,256,64.0,16.0,5065,36999
"POCO X3 (Cobalt Blue, 128 GB)",4.3,256360,6,128,64.0,20.0,6000,20999
"POCO F3 GT 5G (Gunmetal Silver, 256 GB)",4.3,15055,8,256,64.0,16.0,5065,36999
"realme C55 (Rainforest, 128 GB)",4.4,12742,8,128,64.0,8.0,5000,13999
"realme C55 (Rainforest, 64 GB)",4.3,9101,6,64,64.0,8.0,5000,11999
"realme C55 (Sunshower, 128 GB)",4.4,12742,8,128,64.0,8.0,5000,13999
"realme C55 (Rainy Night, 128 GB)",4.4,12742,8,128,64.0,8.0,5000,13999
"realme C55 (Rainy Night, 64 GB)",4.3,9101,6,64,64.0,8.0,5000,11999
"realme C55 (Sunshower, 64 GB)",4.4,39053,4,64,64.0,8.0,5000,10999
"realme C55 (Rainforest, 64 GB)",4.4,39053,4,64,64.0,8.0,5000,10999
"realme C55 (Rainy Night, 64 GB)",4.4,39053,4,64,64.0,8.0,5000,10999
"realme C55 (Sunshower, 64 GB)",4.3,9101,6,64,64.0,8.0,5000,11999
"realme C33 2023 (Aqua Blue, 128 GB)",4.4,13111,4,128,50.0,5.0,5000,10499
"realme C33 2023 (Sandy Gold, 128 GB)",4.4,13111,4,128,50.0,5.0,5000,10499
"realme C30 (Bamboo Green, 32 GB)",4.1,55030,3,32,8.0,5.0,5000,6499
"realme C30 (Denim Black, 32 GB)",4.2,104291,2,32,8.0,5.0,5000,5999
"realme C33 2023 (Night Sea, 128 GB)",4.4,13111,4,128,50.0,5.0,5000,10499
"realme C30 (Denim Black, 32 GB)",4.1,55030,3,32,8.0,5.0,5000,6499
"realme C30 (Lake Blue, 32 GB)",4.1,55030,3,32,8.0,5.0,5000,6499
"realme 10 Pro 5G (Nebula Blue, 128 GB)",4.3,17768,8,128,108.0,16.0,5000,19999
"realme 10 Pro 5G (Dark Matter, 128 GB)",4.3,17768,8,128,108.0,16.0,5000,19999
"realme 10 Pro 5G (Hyperspace, 128 GB)",4.3,17768,8,128,108.0,16.0,5000,19999
"realme 10 Pro 5G (Hyperspace, 128 GB)",4.3,24728,6,128,108.0,16.0,5000,18999
"realme 10 Pro 5G (Nebula Blue, 128 GB)",4.3,24728,6,128,108.0,16.0,5000,18999
"realme 10 Pro 5G (Dark Matter, 128 GB)",4.3,24728,6,128,108.0,16.0,5000,18999
"realme 10 (Rush Black, 64 GB)",4.3,10967,4,64,50.0,16.0,5000,12499
"realme 10 (Clash White, 64 GB)",4.3,10967,4,64,50.0,16.0,5000,12499
"realme 10 (Rush Black, 128 GB)",4.3,4676,8,128,50.0,16.0,5000,15499
"realme 9 5G SE (Azure Glow, 128 GB)",4.4,4115,8,128,48.0,16.0,5000,17999
"realme 9 5G SE (Starry Glow, 128 GB)",4.4,4115,8,128,48.0,16.0,5000,17999
"realme 10 (Clash White, 128 GB)",4.3,4676,8,128,50.0,16.0,5000,15499
"realme Narzo 50i Prime (Dark Blue, 32 GB)",4.2,127,3,32,8.0,5.0,5000,7078
"realme 9i 5G (Soulful Blue, 128 GB)",4.3,8557,6,128,50.0,8.0,5000,16999
"realme 9i 5G (Rocking Black, 64 GB)",4.5,48258,4,64,50.0,8.0,5000,14999
"realme Narzo 50 (Speed Blue, 64 GB)",4.4,17460,4,64,50.0,16.0,5000,12999
"realme Narzo 50 (Speed Blue, 128 GB)",4.3,11210,6,128,50.0,16.0,5000,12999
"realme 9i 5G (Metallica Gold, 128 GB)",4.3,8557,6,128,50.0,8.0,5000,16999
"realme 9i 5G (Rocking Black, 128 GB)",4.3,8557,6,128,50.0,8.0,5000,16999
"realme 9i 5G (Soulful Blue, 64 GB)",4.5,48258,4,64,50.0,8.0,5000,14999
"realme Narzo 50 (Speed Black, 128 GB)",4.3,11210,6,128,50.0,16.0,5000,12999
"realme 9i 5G (Metallica Gold, 64 GB)",4.5,48258,4,64,50.0,8.0,5000,14999
"realme C25s (Watery Grey, 128 GB)",4.4,51873,4,128,13.0,8.0,6000,9999
"realme C55 (Rainforest / Green, 128 GB)",4.4,12742,8,128,64.0,8.0,5000,15495
"realme Narzo 50 (Speed Black, 64 GB)",4.4,17460,4,64,50.0,16.0,5000,12350
"realme Narzo 50i Prime (Mint Green, 64 GB)",4.1,360,4,64,8.0,5.0,5000,8449
"realme C21Y (Cross Blue, 32 GB)",4.6,91242,3,32,13.0,5.0,5000,7499
"realme C35 (Glowing Black, 128 GB)",4.4,189477,4,128,50.0,8.0,5000,10699
"realme C35 (Glowing Black, 64 GB)",4.4,189477,4,64,50.0,8.0,5000,9699
"realme C21Y (Cross Black, 32 GB)",4.6,91242,3,32,13.0,5.0,5000,7499
"realme Narzo 50i (Carbon Black, 32 GB)",4.5,123959,2,32,8.0,5.0,5000,7180
"realme C21Y (Cross Black, 32 GB)",4.6,91242,3,32,13.0,5.0,5000,7499
"realme C33 (Night Sea, 32 GB)",4.4,25430,3,32,50.0,5.0,5000,8999
"realme C33 (Sandy Gold, 32 GB)",4.4,25430,3,32,50.0,5.0,5000,8999
"realme C33 (Aqua Blue, 32 GB)",4.4,25430,3,32,50.0,5.0,5000,8999
"realme Narzo 30 (Racing Silver, 128 GB)",4.3,77321,6,128,48.0,16.0,5000,12499
"realme C21Y (Cross Blue, 64 GB)",4.5,255896,4,64,13.0,5.0,5000,8499
"realme C25s (Watery Blue, 128 GB)",4.4,51873,4,128,13.0,8.0,6000,10489
"realme C33 (Sandy Gold, 64 GB)",4.4,69800,4,64,50.0,5.0,5000,9999
"realme C33 (Night Sea, 64 GB)",4.4,69800,4,64,50.0,5.0,5000,9999
"realme C33 (Aqua Blue, 64 GB)",4.4,69800,4,64,50.0,5.0,5000,9999
"realme Narzo 50i (Carbon Black, 64 GB)",4.3,63130,4,64,8.0,5.0,5000,8949
"realme GT 2 (Steel Black, 128 GB)",4.3,9393,8,128,50.0,16.0,5000,23999
"realme GT 2 (Paper White, 128 GB)",4.3,9393,8,128,50.0,16.0,5000,23999
"realme Narzo 30 (Racing Blue, 128 GB)",4.3,77321,6,128,48.0,16.0,5000,12499
"realme C33 2023 (Aqua Blue, 64 GB)",4.4,13111,4,64,50.0,5.0,5000,9999
"realme C33 2023 (Sandy Gold, 64 GB)",4.4,13111,4,64,50.0,5.0,5000,9999
"realme C21Y (Cross Black, 64 GB)",4.5,255896,4,64,13.0,5.0,5000,8499
"realme 8i (Space Black, 64 GB)",4.5,174284,4,64,50.0,16.0,5000,11499
"realme C33 2023 (Night Sea, 64 GB)",4.4,13111,4,64,50.0,5.0,5000,9999
"realme C31 (Light Silver, 32 GB)",4.5,48051,3,32,13.0,5.0,5000,8049
"realme C31 (Dark Green, 32 GB)",4.5,48051,3,32,13.0,5.0,5000,8049
"realme C31 (Dark Green, 64 GB)",4.4,65343,4,64,13.0,5.0,5000,8749
"realme C31 (Light Silver, 64 GB)",4.4,65343,4,64,13.0,5.0,5000,8749
"realme Narzo 30 Pro 5G (Blade Silver, 128 GB)",4.3,28717,8,128,48.0,16.0,5000,15999
"realme C11 2021 (Cool Blue, 64 GB)",4.3,210255,4,64,8.0,5.0,5000,8999
"realme C11 2021 (Cool Grey, 64 GB)",4.3,210255,4,64,8.0,5.0,5000,8999
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",4.4,16541,8,128,108.0,16.0,5000,25999
"realme Narzo 50A Prime (Flash Black, 64 GB)",4.1,1238,4,64,50.0,8.0,5000,11998
"realme 10 Pro+ 5G (Hyperspace, 128 GB)",4.4,16541,8,128,108.0,16.0,5000,25999
"realme 10 Pro+ 5G (Dark Matter, 128 GB)",4.4,16541,8,128,108.0,16.0,5000,25999
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",4.4,24462,6,128,108.0,16.0,5000,24999
"realme 10 Pro+ 5G (Dark Matter, 128 GB)",4.4,24462,6,128,108.0,16.0,5000,24999
"realme 10 Pro+ 5G (Hyperspace, 128 GB)",4.4,24462,6,128,108.0,16.0,5000,24999
"realme C30s (Stripe Black, 32 GB)",4.4,6173,2,32,8.0,5.0,5000,6999
"realme C30s (Stripe Blue, 32 GB)",4.4,6173,2,32,8.0,5.0,5000,6999
"realme Narzo 50A (Oxygen Blue, 64 GB)",4.4,342411,4,64,50.0,8.0,6000,11499
"realme 9i (Prism Black, 128 GB)",4.5,27119,6,128,50.0,16.0,5000,14499
"realme 9i (Prism Black, 128 GB)",4.5,130575,4,128,50.0,16.0,5000,13499
"realme 9i (Prism Blue, 64 GB)",4.5,130575,4,64,50.0,16.0,5000,11999
"realme C30 (Bamboo Green, 32 GB)",4.2,104291,2,32,8.0,5.0,5000,5999
"realme C30 (Lake Blue, 32 GB)",4.2,104291,2,32,8.0,5.0,5000,5999
"realme 9 5G SE (Azure Glow, 128 GB)",4.4,28393,6,128,48.0,16.0,5000,14999
"realme Narzo 50i Prime (Dark Blue, 64 GB)",4.1,360,4,64,8.0,5.0,5000,8427
"realme 9 5G SE (Starry Glow, 128 GB)",4.4,28393,6,128,48.0,16.0,5000,14999
"realme C25s (Watery Blue, 64 GB)",4.4,51873,4,64,13.0,8.0,6000,8999
"realme C55 (Rainy Night / Black, 128 GB)",4.4,12742,8,128,64.0,8.0,5000,15499
"realme Narzo 30 (Racing Blue, 64 GB)",4.4,106846,4,64,48.0,16.0,5000,10499
"realme C25s (Watery Grey, 64 GB)",4.4,51873,4,64,13.0,8.0,6000,8999
"realme C35 (Glowing Green, 128 GB)",4.3,16739,6,128,50.0,8.0,5000,11699
"realme Narzo 50i (Mint Green, 64 GB)",4.3,63130,4,64,8.0,5.0,5000,8910
"realme C35 (Glowing Black, 128 GB)",4.3,16739,6,128,50.0,8.0,5000,11699
"realme X3 SuperZoom (Arctic White, 256 GB)",4.3,11117,8,256,64.0,32.0,4200,14999
"realme GT 2 (Paper Green, 128 GB)",4.3,9393,8,128,50.0,16.0,5000,23999
"realme C11 2021 (Cool Blue, 32 GB)",4.4,236693,2,32,8.0,5.0,5000,7499
"realme X3 SuperZoom (Glacier Blue, 256 GB)",4.2,2923,12,256,64.0,32.0,4200,17999
"realme GT 2 (Paper Green, 256 GB)",4.4,1313,12,256,50.0,16.0,5000,27999
"realme Narzo 30 (Racing Blue, 64 GB)",4.3,77321,6,64,48.0,16.0,5000,11499
"realme Narzo 30 (Racing Silver, 64 GB)",4.3,77321,6,64,48.0,16.0,5000,11499
"realme Narzo 30 (Racing Silver, 64 GB)",4.4,106846,4,64,48.0,16.0,5000,10499
"realme 8i (Space Black, 128 GB)",4.4,70506,6,128,50.0,16.0,5000,17999
"realme C11 2021 (Cool Grey, 32 GB)",4.4,236693,2,32,8.0,5.0,5000,7499
"realme Narzo 30 Pro 5G (Sword Black, 128 GB)",4.3,28717,8,128,48.0,16.0,5000,15999
"realme X3 SuperZoom (Arctic White, 256 GB)",4.2,2923,12,256,64.0,32.0,4200,17999
"realme X3 SuperZoom (Glacier Blue, 256 GB)",4.3,11117,8,256,64.0,32.0,4200,14999
"realme 8i (Space Purple, 64 GB)",4.5,174284,4,64,50.0,16.0,5000,11499
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)",4.3,60355,6,64,48.0,16.0,5000,12999
"realme X3 SuperZoom (Arctic White, 128 GB)",4.3,11117,8,128,64.0,32.0,4200,12999
"realme 9i (Prism Black, 64 GB)",4.5,130575,4,64,50.0,16.0,5000,11999
"realme 9i (Prism Black, 128 GB)",4.5,130575,4,128,50.0,16.0,5000,13499
"realme C30s (Stripe Black, 64 GB)",4.2,6505,4,64,8.0,5.0,5000,8499
"realme Narzo 50A (Oxygen Blue, 64 GB)",4.4,342411,4,64,50.0,8.0,6000,11499
"realme 8 (Cyber Black, 128 GB)",4.4,96600,8,128,64.0,16.0,5000,15499
"realme 10 (Clash - White, 128 GB)",4.3,4676,8,128,50.0,16.0,5000,17999
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",4.4,32551,8,128,50.0,16.0,4500,19999
"realme 9 5G (Supersonic Black, 64 GB)",4.5,41495,4,64,48.0,16.0,5000,13499
"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,342411,4,128,50.0,8.0,6000,11495
"realme 9 5G (Meteor Black, 64 GB)",4.5,41495,4,64,48.0,16.0,5000,13499
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",4.2,104291,2,32,8.0,5.0,5000,5549
"realme 9i (Prism Blue, 128 GB)",4.5,130575,4,128,50.0,16.0,5000,13499
"realme 9 Pro+ 5G (Midnight Black, 256 GB)",4.4,32551,8,256,50.0,16.0,4500,21999
"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,342411,4,64,50.0,8.0,6000,12490
"realme GT Master Edition (Daybreak Blue, 256 GB)",4.3,62922,8,256,64.0,32.0,4300,24999
"realme GT Master Edition (Luna White, 256 GB)",4.3,62922,8,256,64.0,32.0,4300,24999
"realme 9 Pro+ 5G (Aurora Green, 256 GB)",4.4,32551,8,256,50.0,16.0,4500,21999
"realme C21 (Cross Blue, 64 GB)",4.4,149133,4,64,13.0,5.0,5000,10499
"realme C21 (Cross Black, 64 GB)",4.4,149133,4,64,13.0,5.0,5000,10499
"realme C21 (Cross Black, 32 GB)",4.4,72333,3,32,13.0,5.0,5000,9499
"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)",4.4,32551,8,256,50.0,16.0,4500,21999
"realme Narzo 50A Prime (Flash Blue, 64 GB)",4.1,1238,4,64,50.0,8.0,5000,11199
"realme C30s (Stripe Blue, 64 GB)",4.2,6505,4,64,8.0,5.0,5000,9290
"realme GT Neo 3T (Dash Yellow, 128 GB)",4.3,19257,6,128,64.0,16.0,5000,34999
"realme GT Neo 3T (Drifting White, 256 GB)",4.3,13087,8,256,64.0,16.0,5000,38999
